,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
41598,a14acbb0991ab69de8febea61b57c685,0.39,1.15,0.96,22.27,25.6,26.6,25.6
41600,e13c3b8344a8e5014538bb61d7721382,0.33,0.95,0.8200000000000001,93.12,88.62,108.71999999999998,88.62
41602,2d40ae172895e40b648d59cbf3c578dd,0.37,0.99,1.06,58.44000000000001,58.040000000000006,54.839999999999996,58.040000000000006
41603,fe3bcc61362e597f35a661647e8fa1f1,0.06,0.98,1.09,4.39,4.29,3.95,4.29
41605,25c522f5528297acfa1b95dd65197e02,0.30,1.05,0.91,26.630000000000003,28.0,30.7,28.0
41606,c0ed65abcfdafa88dbee6e2320ee0242,0.13,1.03,0.9,7.38,7.58,8.379999999999999,7.58
41607,2338f701d7c032ef2d04f68056947a9b,0.23,1.01,0.85,26.990000000000002,27.310000000000002,32.01,27.310000000000002
41609,62470d977a2c3be1c1273781c68d76ec,0.22,1.03,0.87,14.07,14.47,16.67,14.47
41610,b3baf8b278559b5364ce586e41ef8d5c,0.50,1.0,0.85,21.77,21.87,25.770000000000003,21.87
41611,a3feec09fb9a09b7661d924e41c78b88,0.36,1.1,0.92,21.85,23.950000000000003,26.049999999999997,23.950000000000003
41612,57772872e0e53e5a05c1000bc9212a87,0.38,1.1400000000000001,0.96,18.96,21.560000000000002,22.36,21.560000000000002
41613,8e450eeea9eb8e148aae5099d5382d88,0.44,1.11,0.95,53.17,58.87,62.269999999999996,58.87
41614,1c63d30f44fa4494c627c4535823c2ae,0.07,1.08,1.08,3.69,3.99,3.69,3.99
41615,4fa0c4acc9ff0572ebadf8e0e0c1c8ca,0.18,1.06,0.89,14.07,14.87,16.77,14.87
41617,11450a399c3dc87f293285b4095b263a,0.25,0.92,0.9299999999999999,42.08,38.68,41.48,38.68
41618,678c04b4b324ac40521da62bdce35ebe,0.17,0.99,1.1,51.75,50.99,46.4,50.99
41619,542dbb58a012cf6dac5e13718dfdd0b9,0.29,1.0,0.84,7.28,7.28,8.68,7.28
41620,4570eb1d15c9d31efa3ee3862b98a546,0.50,1.0,0.9299999999999999,49.07,49.03,52.66,49.03
41622,df3b93446d9a1f494cf53c86c4f21840,0.23,0.96,0.8200000000000001,91.19,87.69,106.59,87.69
41623,b7b96d1b6678d58a26d62744f75843ef,0.20,0.95,0.88,23.96,22.76,25.96,22.76
